"Story","Title","Result","Date","Stability","Duration (s)"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-01-26T18:52:01.859+08:00[Asia/Manila]","0.0","100.16"
"General ledger entries","Create general ledger entry","ERROR","2024-01-26T18:53:42.752+08:00[Asia/Manila]","0.0","89.04"
